scene_coarse_key,scene_label,param,samples,mean,median,std,min,max
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S1,wet_weight,483,29.970186335403728,29.9,0.4367456424160252,29.0,32.300000000000004
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,S2,wet_weight,237,29.23628691983122,29.3,0.7156123119176679,26.9,31.4
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S3,wet_weight,72,29.345833333333335,29.5,0.6637305134197496,27.599999999999998,31.5
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,S4,wet_weight,65,29.358461538461537,29.3,0.7945762891566427,27.599999999999998,31.4
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S5,wet_weight,55,29.450909090909093,29.4,0.7238464747501806,28.0,32.099999999999994
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S6,wet_weight,36,29.586111111111116,29.5,0.6675630547736786,28.400000000000002,31.8
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S1,印刷压力,483,59.5175983436853,65.0,6.80983949155808,40.0,65.0
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,S2,印刷压力,237,60.0042194092827,60.0,5.701800655914941,44.0,65.0
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S3,印刷压力,72,59.59722222222222,60.0,5.726788226838996,45.0,65.0
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,S4,印刷压力,65,59.43076923076923,60.0,5.812372032058277,48.0,65.0
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S5,印刷压力,55,60.4,65.0,5.741713396476068,45.0,65.0
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S6,印刷压力,36,58.19444444444444,60.0,6.159091944454711,43.0,65.0
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S1,印刷高度偏移,483,2.2878881987577633,2.25,0.10874444335279644,2.1,2.6
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,S2,印刷高度偏移,237,2.3740506329113917,2.4,0.06155205653880622,2.2,2.45
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S3,印刷高度偏移,72,2.4625000000000004,2.5,0.048412291827592754,2.4,2.5
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,S4,印刷高度偏移,65,2.4369230769230765,2.45,0.021973625933978117,2.4,2.45
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S5,印刷高度偏移,55,2.456363636363636,2.45,0.01666391161802118,2.45,2.5
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S6,印刷高度偏移,36,2.394444444444445,2.4,0.03286710990610893,2.2,2.4
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S1,刮刀高度偏移,483,-0.4841511387163561,-0.73,0.6444562154219725,-1.2,1.15
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,S2,刮刀高度偏移,237,0.8566666666666667,0.85,0.13856203452640137,0.5,1.38
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S3,刮刀高度偏移,72,0.011666666666666667,0.0,0.05104464277037852,-0.1,0.15
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,S4,刮刀高度偏移,65,-0.20846153846153845,-0.3,0.3946614158187936,-0.45,1.35
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S5,刮刀高度偏移,55,-0.2572727272727272,-0.23,0.1030349375071749,-0.46,-0.1
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,S6,刮刀高度偏移,36,0.8005555555555554,0.75,0.1661984162988532,0.5,1.25
