scene_key,scene_coarse_key,life_segment,参数,single_change_samples,mean_delta_wet_per_unit,median_delta_wet_per_unit,mean_delta_wet_when_param_increase,mean_delta_wet_when_param_decrease,typical_step_abs,方向结论,降湿重建议
刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=30-40万,刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,30-40万,印刷压力,7,0.024880952380952535,0.010000000000000142,0.0500000000000013,-0.10000000000000142,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=10-20万,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,10-20万,印刷压力,8,0.010146183473389365,-0.008403361344537681,-0.2799999999999997,-0.20000000000000048,7.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=10-20万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,10-20万,印刷压力,21,0.01647305075876491,0.023076923076923404,0.07333333333333296,-0.183333333333333,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=20-30万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,20-30万,印刷压力,22,0.026738980716253503,0.015340909090909148,0.10000000000000031,-1.1842378929335002e-15,4.5,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=30-40万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,30-40万,印刷压力,20,0.016469322344322322,0.0,0.18666666666666648,-0.039999999999999855,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=0-10万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,0-10万,印刷压力,24,0.02687500000000009,0.022499999999999874,0.08750000000000013,-0.10000000000000053,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=40-50万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,40-50万,印刷压力,14,0.00015306122448997223,-0.020000000000000462,-0.008333333333332563,0.049999999999998934,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=50-60万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,50-60万,印刷压力,10,0.023999999999999827,-0.008333333333333304,-0.028571428571427963,-0.13333333333333286,8.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=60-70万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,60-70万,印刷压力,13,0.007765567765567886,0.014285714285714488,0.04444444444444468,-0.04999999999999982,3.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=70-80万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,70-80万,印刷压力,7,-0.05868347338935551,-0.016666666666666313,-0.06666666666666643,0.19999999999999574,5.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=80-90万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,80-90万,印刷压力,5,0.0010000000000000698,0.012499999999999734,0.025000000000000355,-0.1999999999999993,8.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=0-10万,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,0-10万,印刷压力,4,-0.002222222222222075,0.005555555555555635,8.881784197001252e-16,,5.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
