scene_coarse_key,life_segment,scene_fine_key,sample_count
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,199
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,161
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=763-268175,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=763-268175,104
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=551648-1024556,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=551648-1024556,102
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=269146-549027,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=269146-549027,70
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=551648-1024556,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=551648-1024556,62
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,46
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=551648-1024556,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=551648-1024556,41
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=551648-1024556,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=551648-1024556,39
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,33
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,31
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=269146-549027,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=269146-549027,22
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=1026419-1192018,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=1026419-1192018,21
刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,20
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=763-268175,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=763-268175,19
刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,13
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=269146-549027,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=269146-549027,11
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,9
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=763-268175,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=763-268175,4
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,3
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=1026419-1192018,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=1026419-1192018,1
