scene_fine_key,scene_coarse_key,life_segment,scene_sample_count,single_param_result_rows,single_param_count,single_param_list,joint_samples,model_r2,has_joint_model,has_single_param,has_any_effect
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,199,1,1,印刷压力,90.0,0.08768733208868174,1,1,1
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,161,1,1,印刷压力,70.0,0.08735787660481598,1,1,1
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=763-268175,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=763-268175,104,1,1,印刷压力,36.0,0.22222206175237336,1,1,1
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=551648-1024556,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=551648-1024556,102,1,1,印刷压力,46.0,0.05217420112371518,1,1,1
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=269146-549027,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=269146-549027,70,1,1,印刷压力,39.0,0.2699243093016238,1,1,1
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=551648-1024556,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=551648-1024556,62,1,1,印刷压力,42.0,0.0635634185744256,1,1,1
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,46,1,1,印刷压力,19.0,0.439737237490345,1,1,1
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=551648-1024556,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=551648-1024556,41,1,1,印刷压力,21.0,0.044850353664321774,1,1,1
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=551648-1024556,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=551648-1024556,39,1,1,印刷压力,19.0,0.5368198821483844,1,1,1
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,33,1,1,印刷压力,17.0,0.023962529413413258,1,1,1
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,31,1,1,印刷压力,20.0,0.32942084789153625,1,1,1
