scene_key,scene_coarse_key,life_segment,参数,single_change_samples,mean_delta_wet_per_unit,median_delta_wet_per_unit,mean_delta_wet_when_param_increase,mean_delta_wet_when_param_decrease,typical_step_abs,方向结论,降湿重建议
刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,印刷压力,8,0.02177083333333347,0.005000000000000071,0.0500000000000013,-0.05000000000000071,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,印刷压力,14,0.00026493930905702575,0.005555555555555635,-0.22999999999999937,-0.22500000000000053,6.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,印刷压力,64,0.02339882773476522,0.019999999999999574,0.06521739130434782,-0.1388888888888891,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,印刷压力,54,0.00984827929272376,-0.009722222222222014,0.06666666666666707,-2.3684757858670006e-16,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=551648-1024556,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=551648-1024556,印刷压力,32,-0.009912902661064319,0.0,1.4802973661668753e-16,-0.050000000000000266,5.5,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=269146-549027,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=269146-549027,印刷压力,19,0.032794486215539057,0.04666666666666662,0.14615384615384686,-0.7333333333333343,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=551648-1024556,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=551648-1024556,印刷压力,20,-0.006522144522144671,0.012499999999999881,-0.14000000000000057,-0.43999999999999917,5.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=网版寿命=763-268175,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,网版寿命=763-268175,印刷压力,14,-0.008095238095238187,0.04499999999999993,-3.2297397080004555e-16,-0.9999999999999988,5.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=763-268175,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=763-268175,印刷压力,9,-0.026296296296296286,-0.05000000000000012,-0.31666666666666704,0.06666666666666643,5.0,参数增大 -> 湿重减小,降湿重建议：增大该参数
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=269146-549027,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=269146-549027,印刷压力,6,0.15083333333333349,0.06499999999999985,0.5250000000000004,-0.7999999999999989,7.5,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=551648-1024556,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=551648-1024556,印刷压力,16,0.020772569444444333,0.02555555555555556,0.30833333333333296,0.45000000000000107,7.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=763-268175,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=763-268175,印刷压力,28,0.03049319727891157,0.04999999999999982,0.05454545454545435,-0.6833333333333336,5.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=269146-549027,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=269146-549027,印刷压力,30,0.03344312169312163,0.03642857142857126,0.15454545454545415,-0.43749999999999956,7.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=网版寿命=551648-1024556,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,网版寿命=551648-1024556,印刷压力,37,0.01917560579325285,0.020000000000000108,-0.029629629629629523,-0.42000000000000026,8.0,参数增大 -> 湿重增大,降湿重建议：减小该参数
